"","symClade","symTreat","timepoint","hostStage","sym","tot","prop_sym"
"1","A","25","3","larv",12,19,0.631578947368421
"2","A","25","9","larv",13,14,0.928571428571429
"3","A","25","9","set",12,12,1
"4","A","32","3","larv",9,14,0.642857142857143
"5","A","32","9","larv",14,16,0.875
"6","A","32","9","set",8,9,0.888888888888889
"7","apo",NA,"3","larv",1,15,0.0666666666666667
"8","apo",NA,"9","larv",0,21,0
"9","apo",NA,"9","set",0,11,0
"10","B","25","3","larv",16,18,0.888888888888889
"11","B","25","9","larv",12,12,1
"12","B","25","9","set",10,11,0.909090909090909
"13","B","32","3","larv",13,19,0.684210526315789
"14","B","32","9","larv",13,16,0.8125
"15","B","32","9","set",11,11,1
"16","C","25","3","larv",1,12,0.0833333333333333
"17","C","25","9","larv",1,12,0.0833333333333333
"18","C","25","9","set",6,14,0.428571428571429
"19","C","32","3","larv",1,18,0.0555555555555556
"20","C","32","9","larv",0,10,0
"21","C","32","9","set",0,14,0
"22","D","25","3","larv",14,17,0.823529411764706
"23","D","25","9","larv",16,18,0.888888888888889
"24","D","25","9","set",13,14,0.928571428571429
"25","D","32","3","larv",16,18,0.888888888888889
"26","D","32","9","larv",17,19,0.894736842105263
"27","D","32","9","set",12,12,1
