Glycan Types,Glycan family,Glycan,Hex-Nac,Hex,Fuc,NeuAc,NeuGc,Breviolum minitum_25C_1,Breviolum minitum_25C_2,Breviolum minitum_25C_3,Breviolum minitum_32C_1,Breviolum minitum_32C_2,Breviolum minitum_32C_3,Durusdinium trenchii_25C_1,Durusdinium trenchii_25C_2,Durusdinium trenchii_25C_3,Durusdinium trenchii_32C_1,Durusdinium trenchii_32C_2,Durusdinium trenchii_32C_3,Symbiodinium microadriaticum_25C_1,Symbiodinium microadriaticum_25C_2,Symbiodinium microadriaticum_25C_3,Symbiodinium microadriaticum_32C_1,Symbiodinium microadriaticum_32C_2,Symbiodinium microadriaticum_32C_3,Cladocopium goreaui_25C_1,Cladocopium goreaui_25C_2,Cladocopium goreaui_25C_3,Cladocopium goreaui_32C_1,Cladocopium goreaui_32C_2
Paucimannose,M,2-3-0-0-0,2,3,0,0,0,6.97E+08,1.69E+07,1.30E+08,6.48E+06,1.24E+06,1.66E+08,4.22E+06,4.28E+05,6.18E+07,2.23E+05,8.08E+07,5.02E+06,1.83E+07,1.41E+08,5.57E+06,1.15E+07,1.33E+08,1.46E+08,3.32E+05,7.49E+06,4.37E+06,1.84E+07,1.67E+07
Paucimannose,M,2-4-0-0-0,2,4,0,0,0,2.06E+08,6.47E+06,8.70E+07,1.12E+06,1.27E+06,7.10E+07,3.75E+06,8.22E+05,4.67E+07,2.04E+05,4.57E+07,7.97E+06,4.92E+06,1.03E+08,5.15E+06,2.77E+06,9.32E+07,9.18E+07,2.23E+05,2.38E+06,9.55E+06,2.77E+07,4.59E+06
High Mannose,M,2-5-0-0-0,2,5,0,0,0,8.61E+08,2.20E+07,1.76E+08,4.13E+07,1.17E+07,1.33E+08,1.30E+08,3.28E+07,1.59E+08,7.82E+06,2.37E+08,6.40E+07,2.47E+08,2.56E+08,1.55E+07,1.34E+08,2.92E+08,2.53E+08,1.87E+07,1.74E+07,6.72E+07,7.39E+07,1.52E+07
High Mannose,M,2-6-0-0-0,2,6,0,0,0,1.54E+08,1.76E+07,9.38E+07,3.78E+07,3.95E+06,5.79E+07,7.14E+07,2.71E+06,4.10E+07,5.37E+06,7.11E+07,7.54E+06,3.77E+07,1.17E+08,3.37E+06,3.54E+07,1.21E+08,9.33E+07,5.58E+07,1.58E+07,4.20E+07,5.74E+07,4.17E+07
High Mannose,M,2-7-0-0-0,2,7,0,0,0,9.17E+07,2.92E+07,1.20E+08,2.99E+07,7.03E+06,8.81E+07,5.10E+07,1.64E+07,1.08E+08,5.03E+06,1.73E+08,3.00E+07,2.80E+07,2.53E+08,1.45E+07,2.37E+07,2.54E+08,2.22E+08,8.10E+07,3.37E+07,7.29E+07,5.76E+07,8.27E+07
High Mannose,M,2-8-0-0-0,2,8,0,0,0,3.89E+07,2.82E+07,1.71E+08,2.69E+07,6.31E+06,1.16E+08,1.24E+07,5.72E+06,3.96E+07,1.60E+06,6.91E+07,7.78E+06,3.78E+07,4.13E+08,2.50E+07,3.40E+07,3.88E+08,2.92E+08,8.67E+07,4.24E+07,5.97E+07,6.92E+07,1.04E+08
High Mannose,M,2-9-0-0-0,2,9,0,0,0,2.78E+07,1.63E+07,1.05E+08,2.23E+07,8.32E+05,7.12E+07,1.55E+07,3.65E+06,2.33E+07,8.93E+05,3.46E+07,3.55E+06,2.64E+07,3.30E+08,1.54E+07,1.55E+07,2.45E+08,1.93E+08,6.76E+07,1.57E+07,1.85E+07,2.40E+07,8.47E+07
Fucosylated,M,2-3-1-0-0,2,3,1,0,0,1.10E+08,0.00E+00,0.00E+00,6.11E+06,0.00E+00,0.00E+00,6.36E+06,0.00E+00,0.00E+00,7.50E+05,0.00E+00,0.00E+00,5.42E+06,0.00E+00,0.00E+00,5.30E+06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Fucosylated,C,4-5-1-0-0,4,5,1,0,0,2.59E+05,5.69E+05,1.70E+06,1.64E+05,9.86E+04,2.39E+06,4.82E+05,6.90E+04,2.17E+05,4.92E+04,6.31E+05,0.00E+00,3.50E+04,0.00E+00,1.26E+05,1.83E+04,3.77E+05,1.43E+06,0.00E+00,0.00E+00,1.09E+05,2.68E+05,1.33E+06
Fucosylated,C,4-5-2-0-0,4,5,2,0,0,5.13E+06,0.00E+00,0.00E+00,8.91E+05,0.00E+00,0.00E+00,8.40E+05,0.00E+00,0.00E+00,1.09E+05,0.00E+00,0.00E+00,7.92E+04,0.00E+00,0.00E+00,3.23E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
