sample,batch,spp,treat
Breviolum.minitum_25C_1,A,Bmin,C
Breviolum.minitum_25C_2,B,Bmin,C
Breviolum.minitum_25C_3,B,Bmin,C
Breviolum.minitum_32C_1,A,Bmin,H
Breviolum.minitum_32C_2,B,Bmin,H
Breviolum.minitum_32C_3,B,Bmin,H
Durusdinium.trenchii_25C_1,A,Dtren,C
Durusdinium.trenchii_25C_2,B,Dtren,C
Durusdinium.trenchii_25C_3,B,Dtren,C
Durusdinium.trenchii_32C_1,A,Dtren,H
Durusdinium.trenchii_32C_2,B,Dtren,H
Durusdinium.trenchii_32C_3,B,Dtren,H
Symbiodinium.microadriaticum_25C_1,A,Smic,C
Symbiodinium.microadriaticum_25C_2,B,Smic,C
Symbiodinium.microadriaticum_25C_3,B,Smic,C
Symbiodinium.microadriaticum_32C_1,A,Smic,H
Symbiodinium.microadriaticum_32C_2,B,Smic,H
Symbiodinium.microadriaticum_32C_3,B,Smic,H
Cladocopium.goreaui_25C_1,B,Cgor,C
Cladocopium.goreaui_25C_2,B,Cgor,C
Cladocopium.goreaui_25C_3,B,Cgor,C
Cladocopium.goreaui_32C_1,B,Cgor,H
Cladocopium.goreaui_32C_2,B,Cgor,H
